question,answer,id,relevant_passage_ids
Is signal transducer and activator of transcription-3 (STAT3) critical for tumor angiogenesis progression?,"(STAT3) is a latent cytoplasmic transcription factor, originally discovered as a transducer of signal from cell surface receptors to the nucleus. It is activated by tyrosine phosphorylation at position 705 leading to its dimerization, nuclear translocation, DNA binding, and activation of gene transcription. Under normal physiological conditions, STAT3 activation is tightly regulated. However, compelling evidence suggests that STAT3 is constitutively activated in many cancers and plays a pivotal role in tumor growth and metastasis. It regulates cellular proliferation, invasion, migration, and angiogenesis that are critical for cancer metastasis",680,"[23848964 15665295 24200081 23848338 24274066 19566485 24199193 24058783
 24238495 20204067 22076197 24307888 24005169 16061629 23962559 24178245
 24305878 23903834 24042330 24324713 24116074 18498667 24231788 17610223
 20052595  9091577]"
Do bacteria from the genus Morexella cause respiratory infections?,Bacteria from the genus Morexella can cause respiratory infections,2347,[24786571  8007629]
Has AZD9668 been tested in clinical trials?,"Yes, AZD9668 has been tested in clinical trials.",4075,[22458939 26043724]
What is the activity of a Oligosaccharyltransferases ?,"oligosaccharyltransferases (OSTs), which catalyze the attachment of glycans to specific amino acid residues in target proteins",4286,[33997889 29178580 31769974 29282902 34493791]
What is the function of 6SRNA in bacteria?,"6S RNA, first described as a ncRNA in E. coli, mimics an open promoter structure, which has a large bulge with two hairpin/stalk structures that regulate transcription through interactions with RNA polymerase. Escherichia coli 6S RNA represents a non-coding RNA (ncRNA), which, based on the conserved secondary structure and previous functional studies, had been suggested to interfere with transcription. The carboxy terminus containing the Arg-Gly-Gly (RGG) repeat domains in these proteins are necessary for cis-repression of transcription activation and HAT activity by the N-terminal glutamine-rich domain.",171,[23667906 22214309 17332013    58611  2579060 15262935]
What is Paget's Disease?,"Paget's disease of bone (PDB) is a noninflammatory, metabolic, skeletal disorder characterized by localized excessive osteoclastic bone resorption that is followed by compensatory increased osteoblastic activity leading to unstructured, fibroblastic, and biomechanically unstable bone. ",2680,"[15920545 17447970 23929251 18469796  2660231  8873960 16899115 16429324
 27815949 11237774 12094381 28339664 28255281 27761746 18496141 27600564
 15389972 19032921]"
Does ProSavin use an adenoviral vector?,"No, ProSavin is a lentiviral vector based gene therapy.",3444,[30156440]
Do selenoproteins and selenium play a role in prostate cancer prevention?,"No, although initial epidemiological studies on humans and on animal and cell- based models indicated that selenoproteins may be protecting against prostate cancer, more research is needed to improve the understanding of selenium metabolism and requirements for optimal health.",941,"[20424130 19074884 17160069 22072582 20852007 19690186 19299660 15875088
 23133653 16690748]"
Which was the first genetically modified organism (GMO) to be used as vaccine?,The first genetically modified organism to be used as vaccine was the live oral cholera vaccine CVD 103-HgR or vaxchora.,3311,[27425792]
What are Degrons?,Specific signals (degrons) regulate protein turnover mediated by the ubiquitin-proteasome system.,2022,"[19878048 21633985 26732515 10545113 20835240 16606826 26743630 23960079
 21190544 20924402 23431188 26435348 22577142 18698327 26456660  7731961
 23271452 25157437]"
Which is the localization of the RIFIN family of proteins?,"Plasmodium falciparum rifin proteins are mainly surface-expressed. Data has shown that while A-type RIFINs were found to be associated with the parasite and transported to the surface of infected erythrocytes via Maurer's clefts, B-type RIFINs appeared to be mostly retained inside the parasite.",1403,"[16679041 22174947 19769795 14668007 17148488 17014697 17719658 14573641
 12438381 23166704 15306707 15939796 19826486 21332983 17255224 23259643
 15287581]"
Have germline variants been associated to colorectal cancer?,Yes. Whole-genome sequencing (WGS) applied to medical research has revealed how germline variants and mutations may be associated with colorectal cancer. It is likely that this level of knowledge can be translated into predictions of predisposition.,1501,"[23263490 22020387 17604324 18091433 21351276 21791631 22431159 21918173
 17524638]"
What is the purpose of the Tokuhashi scoring system?,Tokuhashi scoring system was developed to predict life expectancy of patients with spinal metastases. The revised Tokuhashi score has been widely used to evaluate indications for surgery and predict survival in patients with metastatic spinal disease.,1253,"[25085251 24212518 22973387 23328875 21772622 17593839 21223698 25035829
 21796024 17094910]"
Which CDK targets control cytokinesis?,"Aip1, Ede1 and Inn1 are CDK targets whose dephosphorylation is required for cytokinesis.",641,[25371407]
Which drugs are utilized to treat amiodarone-induced thyroitoxicosis?,"Amiodarone-induced thyrotoxicosis treatment includes anti-thyroid drugs and steroid therapy
Radio Iodine Treatment (RIT) may be a safe and useful method of AIT therapy in patients with low RAIU, in whom other treatment methods are contraindicated.
Lithium is a useful and safe medication for treatment of iodine-induced thyrotoxicosis caused by amiodarone.
Thyrodectomy may be necessary in presence of unresponsiveness to standard medical treatments",102,"[ 2781955 12727944  9217642 11901034 16910349 19675515  7946779 16544025
 21135419]"
Is Nanog repressed in pluripotent stem cells?,"The homeobox gene Nanog is a key intrinsic determinant of self renewal in embryonic stem (ES) cells, and its repression leads ES cells to selectively differentiate into primitive endoderm.",4098,"[15494369 24489122 22713603 17267691 21304588 25544848 15939376 16790525
 26296469 19036726 16908534 20824089 18454139 19845468 18223644 20026622]"
What is the mode of inheritance of Facioscapulohumeral muscular dystrophy (FSHD)?,Facioscapulohumeral muscular dystrophy has an autosomal dominant inheritance pattern.,23,"[10864616 10487912 21795275 15307599 10969520 23143600  7739631 22551571
 19248726 22525183]"
Is AND-1/Ctf4 essential for proliferation?,Yes. AND-1 fork protection function prevents fork resection and is essential for proliferation.,3544,[30082684]
Can we use prodrug amifostine to protect healthy cell during chemotherapy?,"Effective radiotherapy for patients with cancer should include maximal tumor cell killing with minimal injury to normal tissue. However, current radiation doses that can be delivered without causing severe damage to surrounding normal tissues are often insufficient to eradicate a tumor. Recently, a number of agents have been developed to protect normal tissue from the harmful effects of antitumor therapies. The aminothiol amifostine (Ethyol; Alza Pharmaceuticals, Palo Alto, CA/US Bioscience, West Conshohocken, PA) has been the subject of extensive research as a prospective protector. While this drug has been approved for use to reduce toxicities associated with cisplatin, several studies also have demonstrated that amifostine protects normal tissues from both acute and late radiation damage without protecting the tumor. Consequently, higher radiation doses could be used with less than or equal risk to surrounding normal tissues.",1737,"[10963843  8656260 15330181 17602063 16267025 11336600 19956889 17661222
 12469164 20021044 16015542  8783671 10731970 18204866 15064010 12538828
 10553165 23626702  9099346  8952658 11368288 15345895  9703784 10348266
  9389935 16116597 10808697]"
Which diseases can be treated with Itepekimab?,"Itepekimab, a monoclonal antibody targeting IL-33, demonstrated clinical activity in asthma, with potential in chronic obstructive pulmonary disease (COPD).",4329,[34706171 34302758 34523807]
List types of DNA lesions caused by UV light.,"cyclobutane pyrimidine dimers
pyrimidine pyrimidone photoproducts
8-oxo-7,8-dihydroguanine",3601,[29305302 29405222 29450111]
"Super-SILAC is a method used in quantitative proteomics. What is the super-SILAC mix?
(SILAC: Stable Isotopic labelling by aminoacids in cell culture)",The Super-SILAC mix consists of the combination of multiple SILAC-labeled cell lines.,1498,[22278370 22442255 21293456 22623409 20364148 23090970 20431548]
Which receptor is targeted by Spesolimab?,Spesolimab is a novel anti-interleukin-36 receptor antibody.,4599,[33661508 33919434 34085329 33785490 34678325 34626330 32884319]
Which is the most prevalent form of arrhythmia worldwide?,"Atrial fibrillation (AF) is the most common arrhythmia worldwide, and it has a significant effect on morbidity and mortality. It is a significant risk factor for stroke and peripheral embolization, and it has an effect on cardiac function. Atrial fibrillation (AF) is the most common cardiac arrhythmia affecting up to 1-1.5% of the population.",1104,"[15922277 25534665 23795692 24474959 25546992 19888755 23259476 23541013
 21394037 25432121 24828991]"
What is the function of HDAC  proteins?,"Histone deacetylases influence diverse cellular processes and may contribute to tumor development and progression by multiple mechanisms. Histone deacetylases prevent the relaxation of chromatin, and positively or negatively regulate transcription. ",2700,"[10220385 27668865 23724067 15050820 22621256 23088873 19443688 17767915
 27939885 27345839 17227860 11602581 26927903 28078999 10869435 28930559]"
Which disorder has been approved for treatment with Alk inhibitors?,"Anaplastic lymphoma kinase (ALK) rearrangement is detected in 3-7% of patients with non-small-cell lung cancer. Crizotinib is an ALK inhibitor, which was approved in 2011 for the treatment of ALK-positive lung cancer.",2440,[28669346 28050598 27545320 28054318 27707887 27498387 27865624]
Which protein has been found to interact with phospholamban (PLN) and is also an anti-apoptotic protein?,"Phospholamban interacts with HAX-1, a mitochondrial protein with anti-apoptotic function.The discovery of the PLN/HAX-1 interaction therefore unveils an important new link between Ca(2+) homeostasis and cell survival, with significant therapeutic potential.",210,[17241641 19920172 24550830 18971376 18415121]
Which are the lactate isomers?,Lactate contains a chiral carbon and thus has two optical isomers-d-lactate and l-lactate.,4166,[27119568 29501496 32365804]
What is resistin?,"The adipocyte-secreting adipokine, resistin, may play a critical role in the modulation of inflammatory diseases.",3221,"[18191042 29278852 29937317 14644422 24780007 19024936 23981771 12660880
 19095472 14962997 18417718 30353146 15103228 27079485 26729407]"
Is single guide RNA part of the CRISPR/Cas9 tool or an inhibitor of its function?,Single guide RNA is part of the CRISPR/Cas9 system.,560,"[25713377 24870050 23907171 25048165 25398342 25239977 24710347 24920971
 24838573 25161872 24825012 25731961 25122746 25274302 25437567]"
Which diagnostic test is approved for coronavirus infection screening?,Real-time reverse transcription-PCR (rRT-PCR) is mostly used as the lab test for screening coronaviral infection.,3507,[14707219 28191331 14522060 24153118]
Do proton pump inhibitors affect thyroxine absorption?,"Proton-pump inhibitors, antacids and a long list of drugs may decrease thyroxine absorption.
Patients with hypothyroidism and normal TSH values during LT4 replacement therapy may need additional thyroid function testing after treatment with PPIs and may need adjustment of their LT4 dose.",711,"[20694403 16477543 22019751 15073769 19942153 17669709  9416973 18942671
 16971728  7865648 16918738 23565522 18996189]"
Where are Goblet cells localized?,"Goblet cells are found in the intestine, in the lungs, in the eyes etc. Goblet cells are localized in the epithelium.",4395,[31922915 31762020 31734511 31782555 31819932 31751647]
What is the purpose of HaploReg v4?,"HaploReg v4 enables the systematic mining of putative causal variants, cell types, regulators and target genes for human complex traits and disease.",1996,[27539526 26657631]
What is the ReliableGenome?,"The increasing adoption of clinical whole-genome resequencing (WGS) demands for highly accurate and reproducible variant calling (VC) methods. The observed discordance between state-of-the-art VC pipelines, however, indicates that the current practice still suffers from non-negligible numbers of false positive and negative SNV and INDEL calls that were shown to be enriched among discordant calls but also in genomic regions with low sequence complexity. ReliableGenome is a method for partitioning genomes into high and low concordance regions with respect to a set of surveyed VC pipelines. It combines call sets derived by multiple pipelines from arbitrary numbers of datasets and interpolates expected concordance for genomic regions without data.",2386,[27605105]
Which residue of alpha-synuclein was found to be phosphorylated in Lewy bodies?,"Alpha-synuclein phosphorylated at serine 129 (S129) is highly elevated in Parkinson's disease patients where it mainly accumulates in the Lewy bodiesApproximately 90% of α-syn deposited in Lewy bodies is phosphorylated at serine 129 (Ser129). In contrast, only 4% or less of total α-syn is phosphorylated at this residue in the normal brain. This suggests that the accumulation of Ser129-phosphorylated α-syn leads to the formation of Lewy bodies and dopaminergic neurodegeneration in Parkinson's disease",401,[23314528 23567651 11813001 18562315 22232559 15834418 16847063]
What is the correlation between SPARC expression and growth inhibition in human cancer?,"Secreted protein acidic and rich in cysteine (SPARC) is a multi-faceted protein-modulating cell-cell and cell-matrix interactions. SPARC seems to act as a tumour suppressor, as it has been found that loss of SPARC accelerates the development of certain types of cancer, whereas its expression impairs tumor growth. However it has also been associated with a aggressive phenotypes of some tumours. The role of SPARC may depend on its subcellular localization.",1352,"[19830689 16424866 12414657 22863973 20215880 23321672 12500936 20955243
 21098700 21799470 20100207 22206672 20087345 19920824 19236378 15958556]"
How could iPSCs be used for the treatment of diabetes?,"One of the promising approaches to cure diabetes is to use induced PCSs (iPSCs) and to differentiate them into insulin-secreting β cells. The induction of iPSC differentiation into insulin-secreting cells can be achieved in several ways, such as with the use of microRNAs, or adenoviral transfection with selected genes.",1050,"[24794627 24035588 24784583 25059784 21060967 24911883 22820846 24469711
 25479728 21755313 24554704 22512788 21464439 23197849 24577791]"
Which disease is treated with Anti–Siglec-8 Antibody?,"Anti-Siglec-8 Antibody was shown to be effective for Eosinophilic Gastritis and Duodenitis. It is also undergoing clinical investigation for treatment of allergic, inflammatory, and proliferative diseases.",3942,[29680938 31465299 33085861 31401630]
What is the reason for the narcolepsy cases developed after H1N1 influenza vaccination?,The proposed mechanism for postvaccination narcolepsy is one in which an environmental trigger causes or enhances an antibody-mediated autoimmune response in patients with a preexisting genetic susceptibility.,914,[21866560 21676420 22213222 23884811 24048081 21963829 23486871 22530521]
What does the SAGA complex acronym stands for?,SAGA stands for Spt-Ada-Gcn5-acetyltransferase (SAGA),715,[26528322 25441028 26100014 24509845 25015293]
What is the effect of resveratrol on mTOR activity?,Resveratrol (RSV) inhibits leucine-stimulated mTORC1 activation by promoting mTOR/DEPTOR.,463,"[19108833 23248098 21179458 19827268 22269797 21168265 23272906 23211629
 19471118 22029423 22530672 20169165 22242130 20851890 25448084 24060150
 21966552 23680031]"
What heterotachy states about molecular evolutionary processes?,"Functional constraints may account for heterogeneity in the evolutionary rates among different sites of amino acid or DNA sequences. Apart from variations of substitution rates among different sites (spatial variation), heterotachy states that there are variations of substitution rates of a given site throughout time. Heterotachy is the within-site evolutionary rate variations across different lineages over time. Heterotachy (temporal rate variation) occurs with varying severity because the intensity of purifying selection and adaptive forces acting at a given position of a homologous amino acid or DNA sequence are not the same in different species. Heterotachy may mislead phylogenetic inferences.",1208,"[18852097 19687305 18319244 21186190 20045073 17974035 16014870 16151191
 20724379 16672284 19822637 16209710 21235782 12880207 15746012 19482090
 11752184 17288568 17366138]"
What is the cause if the rare disease cystinosis?,Cystinosis is a rare autosomal recessive disorder resulting from defective lysosomal transport of cystine due to mutations in the cystinosin lysosomal cystine transporter (CTNS) gene.,2901,[29416314 29421779 29467429]
Which annotated database of A-to-I RNA editing is available?,"RADAR is a rigorously annotated database of A-to-I RNA editing. RADAR includes a comprehensive collection of A-to-I RNA editing sites identified in humans (Homo sapiens), mice (Mus musculus) and flies (Drosophila melanogaster), together with extensive manually curated annotations for each editing site. RADAR also includes an expandable listing of tissue-specific editing levels for each editing site, which will facilitate the assignment of biological functions to specific editing sites.",1961,[24163250]
What percentage of rheumatoid arthritis patients are responsive to anti-TNF therapy?,"Despite this, a substantial proportion of patients (approximately 30-40%) fail to respond to these potentially toxic and expensive therapies. Treatment strategies blocking tumor necrosis factor (anti-TNF) have proven very successful in patients with rheumatoid arthritis (RA), showing beneficial effects in approximately 50-60% of the patients. ",2121,[24040234 22044414]
Is abdominal pain a common symptom in autism?,"Yes, although there are no precise data. There is data that Lactase deficiency, not associated with intestinal inflammation or injury, is common in autistic children and may contribute to abdominal discomfort, pain and observed aberrant behavior.",1562,[21114016 19329445 22997101 12846385 21415091 23371507 14523189 22850932]
Was saracatinib being considered as a treatment for Alzheimer's disease in November 2017?,"Yes, saracatinib is being studied as a treatment against Alzheimer's Disease. A clinical Phase Ib study has been completed, and a clinical Phase IIa study is ongoing.",2408,[25874001]
Which 2 medications are included in the Qsymia pill?,Qsymia pill includes phentermine and topiramate. It is used for treatment of obesity.,2235,"[23590816 24222976 23531960 25826792 26313898 25661549 24991373 23565717
 24986038 23625271 23039320]"
What is the mechanism of action of rogaratinib?,Rogaratinib is a highly potent and selective small-molecule pan-fibroblast growth factor receptor (FGFR) inhibitor (FGFR1-4) for oral application currently being investigated in phase 1 clinical trials for the treatment of cancer.,3658,[29451369 30807645 31405822]
Is vocimagene amiretrorepvec effective for glioblastoma?,No. Treatment with vocimagene amiretrorepvec did not improve survival of glioblastoma patients.,4125,[33119048 32816892]
What disease is presenilin involved in?,Loss-of-function mutations in PSEN1/2 genes are the leading cause of familial Alzheimer's disease (fAD).,4458,[31606858 34593029 34662541 34100423]
What is Bexsero?,"Bexsero is a 4-component vaccine against capsular Meningococcus serogroup B (4CMenB), which has recently been licensed in Europe, Canada and Australia.",1916,"[22426368 25713028 24284038 27163398 27002504 24807056 24141209 26379162
 24631075 24815780 25301037 26126001 25325113 25882169 27109566 25986879
 27923519 27302338 25043395 24462403 23954380 27521232 27808594 26068564
 26487381 25368410 23472347 27573083 26304221 26853725 23811804 23575646
 25161192 26686570 26603630 26433141 21615224 26788734 26788735]"
Is proton beam therapy used for treatment of craniopharyngioma?,"Yes, proton beam therapy is used for treatment of craniopharyngioma.",4359,"[29932288 34049281 16630407 16580494 25052561 29459099 32387488 32086697
 34078637 25260976 27556661 25487038 26295365 29404243 31860822 30257123
 30108004 29520496 24222710 32129277]"
Which is the molecular function of the protein CCDC40?,The coiled-coil domain containing protein CCDC40 is essential for motile cilia function and left-right axis formation and mutations in CCDC39 and CCDC40 are the major cause of primary ciliary dyskinesia with axonemal disorganization and absent inner dynein arms.,1269,"[25186273 25802884 22693285 21131974 23402890 22499950 23255504 23234452
 25493340]"
What is the functional role of the protein Drp1?,Drp1 is involved in the regulation of mitochondrial fission.,594,"[19638400 22020994 24302731 24080278 25192600 24764190 20179104 23027751
 26038571 17015472 21459773 16684605 20649536 22334657 25036098 22703557
 23888838 23128392 25237193 23334860 24485837 21613270 20850011 25658204
 24755420 25012575 24616159 22367970 15791210 23904108 25332205 25348719
 24388463 24878071 24631294]"
List the off-label use of SSRIs,"depression during childhood and adolescence
Premature ejaculation (PE)
erectile dysfunction
Insomnia
postprostatectomy established stress urinary incontinence.
mood and anxiety disorders during pregnancy and breast feeding
symptoms of vasomotor dysregulation (hot flashes) associated with the menopausal transition and sex hormone deprivation
..off-label uses include the treatment of bulimia, benzodiazepine/alcohol dependence, fibromyalgia, central nervous system degenerative diseases (behavioral disorders in dementia and other organic disorders), schizophrenia, chronic pain disease and diabetic neuropathy, sexual dysfunction.",407,"[15928960 23093633 15291651 22760463 22136212 20235039 22473248 18330528
 22712761 18360636 15062207 16481094 23425613 15643101 21077473 18371047
 16310120 21601255 21176430]"
Which are the most common methods for circular RNA detection from RNASeq?,"The main algorithms are circRNA_finder, find_circ, CIRCexplorer, CIRI, and MapSplice.",2219,[27167008 26657634]
What is the risk for secondary cancer after proton beam therapy?,Proton beam therapy is associated with lower risk of secondary cancer when compared to other radiation therapy approaches. It allows excellent dose localization by administration of a high dose to the tumor while minimizing damage to surrounding normal tissues. Therefore it is more commonly used in children.,3794,"[29106564 21767176 26636040 27165972 33008412 10394397 20514614 24180282
 22149823 19305036 27534798 30241747 28603224 28366554 32733794 19427561
 26605679 11023601 28004469 27789564 25861886]"
Does atemoya juice inhibit tye CYP3A4 enzyme?,"No, atemoya juice does not inhibit CYP3A4.",4352,[34881402]
Is erythropoietin effective for treatment of amyotrophic lateral sclerosis?,"No, erythropoietin is not effective for treatment of amyotrophic lateral sclerosis.",2791,[25886781 25595151]
Which sequence-based algorithm for branch point prediction has been proposed?,BPP is a sequence-based algorithm for branch point prediction.,2573,[28633445]
What is the purpose of the Unique Connectivity of Uncharged Compounds (UC2) search tool?,The Unique Connectivity of Uncharged Compounds (UC2) search tool uses unique connectivity of uncharged compounds for metabolite annotation by database searching in mass spectrometry-based metabolomics.,3419,[29040459]
Does Rad9 interact with Aft1 in S.cerevisiae?,"Yes. Rad9 functions together with Aft1 on DNA damage-prone chromatin to facilitate genome surveillance, thereby ensuring rapid and effective response to possible DNA damage events.",903,[25300486]
List the results of mutated casein kinase 1 epsilon. ,"Mutation in casein kinase 1 epsilon results in a short circadian period, abnormal entrainment to light cycles, and potentiated resetting responses to light.
Mutations of CK1epsilon found in breast cancer can suppress Wnt/beta-catenin as well as promote the Wnt/Rac-1/JNK and Wnt/NFAT pathways, thus contributing to breast cancer development via effects on cell adhesion and migration.
Csnk1e is regulating not only the timing of sleep, but also the REM sleep amount and NREM sleep architecture.",1569,[24744456 19142762 11076012 20507565 18522517]
Was golimumab tested for diabetes?,"Yes, among children and young adults with newly diagnosed overt type 1 diabetes, golimumab resulted in better endogenous insulin production and less exogenous insulin use than placebo.",4031,[33207093]
Please list 2 antitoxin antibodies approved by the FDA for reducing the recurrence of Clostridium difficile infection,"The antitoxin antibodies actoxumab and bezlotoxumab bind to and neutralize TcdA and TcdB, respectively. Bezlotoxumab was recently approved by the FDA for reducing the recurrence of CDI.",3109,"[28232034 29234211 29760164 28730660 28636484 27757389 28480750 25486992
 28865041 27905086]"
What is the role of Thyrotropin Releasing Hormone in the treatment of comatose patients?,"Thyrotropin Releasing Hormone and its analogs are used for treatment of comatose patients. In animal models, Thyrotropin Releasing Hormone and its analogs have been shown to improve the disturbance of consciousness caused by head concussion and pentobarbital. This analeptic action is attributable to stimulation of cholinergic neurons in the septo-hippocampal area and to the presence of terminals containing TRH in the lateral septum and TRH receptors concentrated especially in the medial septum and diagonal band of Broca. It has also been suggested that TRH localized in the pineal gland has a part in activating the neuronal mechanisms of arousal. Associated with the arousal effect and especially evident in variously originated shock conditions are the activating effects of TRH on vegetative functions (body temperature, circulation, the gastrointestinal tract). These stimulatory activities on the CNS were the rationale for therapeutic use of TRH in the initial treatment of coma due to brain trauma. Thyrotropin Releasing Hormone has been shown to induce recovery in comatose patients with extrapontine and pontine myelinosis syndromes.",1579,[8690305 2127684 8437381 1394244 8221703 9773038 2112565 3018425 1317658]
List symptoms of the Zieve's syndrome.,"Zieve's syndrome, characterized by jaundice, hyperlipidaemia and haemolytic anaemia. It usually develops in young, chronically alcoholic subjects with enlarged fatty liver. It may rarely occur with intracranial haemorrhage.",2540,"[ 2716993  1217221  2355237  8819039   966632  7110955 11761804 24748143
  1122928   871409  2208946   464793 12430042 26203455]"
Is there an association between Histone H3.3 mutations and glioma?,"Yes, histone H3.3 mutation in the codon for lysine 27 has been found as driver mutations in pediatric glioblastoma and has been suggested to play critical roles in the pathogenesis of thalamic gliomas and diffuse intrinsic pontine gliomas.",2190,"[25525250 24997139 25281433 25773741 23907119 26517431 27392443 23603901
 25976256 25200322 22661320 24229707 25219808 24285547 22286061 23429371
 23417712 27864305 24622842 24691963]"
Which part of the TNFR2 gene is genetically associated with Systemic Lupus Erythematosus?,There is a TNFR2 3' flanking region polymorphism in systemic lupus erythematosus.,3345,[11607787 11169260 11196716 11197692 10395102]
